"DATA AS OF","DEVELOPMENT","HUD AMP#","TDS#","CONSOLIDATED TDS#","DEVELOPMENT EDP#","OPERATING EDP#","HUD #","PROGRAM","METHOD","TYPE","NUMBER OF SECTION 8 TRANSITION APARTMENTS","NUMBER OF CURRENT APARTMENTS","TOTAL NUMBER OF APARTMENTS","NUMBER OF RENTAL ROOMS","AVG NO R/R PER APARTMENT","POPULATION SECTION 8 TRANSITION","POPULATION PUBLIC HOUSING","TOTAL POPULATION","TOTAL # OF FIXED INCOME HOUSEHOLD","PERCENT FIXED INCOME HOUSEHOLDS","NUMBER OF RESIDENTIAL BLDGS","NUMBER OF NON-RESIDENTIAL BLDGS","NUMBER OF STAIRHALLS","NUMBER OF STORIES","TOTAL AREA SQ FT","ACRES","NET DEV AREA SQ FT","EXCLUDING PARK ACRES","BLDG COVERAGE SQ FT","CUBAGE CU FT","BLDG COVERAGE %","DENSITY","DEVELOPMENT COST","PER RENTAL ROOM","AVG MONTHLY GROSS RENT","LOCATION STREET A","LOCATION STREET B","LOCATION STREET C","LOCATION STREET D","BOROUGH","COMMUNITY DISTIRCT","US CONGRESSIONAL DISTRICT","NY STATE SENATE DISTRICT","NY STATE ASSEMBLY DISTRICT","NY CITY COUNCIL DISTRICT","COMPLETION DATE","FEDERALIZED DEVELOPMENT","SENIOR DEVELOPMENT","ELECTRICITY PAID BY RESIDENTS","PRIVATE MANAGEMENT","RAD TRANSFERRED DATE"
"1/1/2025","BRONX RIVER ADDITION","NY005010320","157","032","533","533","NY005220D","FEDERAL","CONVENTIONAL","NEW CONST (ELD)","0","225","226","637.5","2.83","0","137","137","111","0.9024","2","0","2","6–14","62,606.5","1.44","62,500","1.43","12,286","1,529,115","19.66%","95","$3,928,000","$6,128","$350","E 172ND ST","E 174TH ST","MANOR AVE","HARROD AVE","BRONX","9","14","34","85","17","1966-02-28T00:00:00.000","1978/07/01-ATP 3","EXCLUSIVELY",,,
"1/1/2025","BROWN","NY005012520","325","252","336","336","NY005277","FEDERAL","TURNKEY","NEW CONST (ELD)","0","200","200","700.0","3.50","0","223","223","172","0.8687","2","0","2","6","98,072.1","2.25","99,460","2.28","29,354","1,493,904","29.51%","99","$13,425,060","$19,179","$458","EASTERN PKWY","PROSPECT PL","HOPKINSON AVE","SAINT MARKS AVE","BROOKLYN","16","08","25","55","41","1985-07-23T00:00:00.000",,"EXCLUSIVELY","YES",,
"1/1/2025","BROWNSVILLE","NY005000160","016","016","512","512","NY005213D","FEDERAL","CONVENTIONAL","NEW CONST","0","1,334","1,338","6,270.0","4.70","0","2,744","2,744","452","0.3645","27","0","46","3–6–7","736,860.5","16.92","732,841","16.82","188,564","10,371,638","23.00%","162","$12,898,000","$2,054","$655","SUTTER AVE","DUMONT AVE","MOTHER GASTON BLVD","ROCKAWAY AVE","BROOKLYN","16","08","25","55","41","1948-04-16T00:00:00.000","1977/07/01-ATP 1",,,,
"1/1/2025","BRYANT AVENUE-EAST 174TH STREET","NY005015300","235","530","352","748","NY005145","FEDERAL","TURNKEY","NEW CONST","0","72","72","284.0","3.94","0","145","145","33","0.4648","1","0","1","6","23,139.6","0.53","22,500","0.52","9,879","672,864","43.91%","273","$2,132,334","$7,315","$663","E 174TH ST","BRYANT AVE","E 173RD ST","VYSE AVE","BRONX","3","14","32","79","17","1972-08-31T00:00:00.000",,,,"YES",
"1/1/2025","BUSHWICK","NY005020860","086","086","430","430","NY005370","MIXED FINANCE/LLC1","CONVENTIONAL","NEW CONST","209","1,217","1,220","5,660.5","4.65","441","2,027","2,468","551","0.48","8","0","8","13–20","638,087.2","14.65","639,260","14.68","78,768","11,288,105","11.29%","168","$20,346,000","$3,599","$586","HUMBOLDT ST","MOORE ST","BUSHWICK AVE","FLUSHING AVE","BROOKLYN","1","07","18","53","34","1960-04-01T00:00:00.000",,,,,
"1/1/2025","BUSHWICK II (GROUPS A & C)","NY005012470","302","247","565","546","NY005222","FEDERAL","TURNKEY","NEW CONST",,"299","300","1,446.5","4.84",,,"747",,,"25","0","25","3","480,441.6","11.03","402,930","9.25","102,600","3,200,584","25.46%","68","$20,840,392","$14,235","$542","CENTRAL AVE","HARMAN AVE","GREEN AVE","HALSEY ST","BROOKLYN","4","07","18","53, 54","37","1984-07-19T00:00:00.000",,,"YES",,"07/18/2019"
"1/1/2025","BUSHWICK II (GROUPS B & D)","NY005012470","303","247","566","546","NY005240","FEDERAL","TURNKEY","NEW CONST",,"300","300","1,450.0","4.83",,,"726",,,"25","1","27","3","388,749.3","8.92","440,392","10.11","102,600","3,200,584","23.30%","81","$19,608,177","$13,339","$513","GATES AVE","WILSON AVE","MADISON AVE","EVERGREEN AVE","BROOKLYN","4","07","18","53, 54","37","1984-07-05T00:00:00.000",,,"YES",,"07/18/2019"
"1/1/2025","BUSHWICK II CDA (GROUP E)","NY005012470","324","247","758","546","NY005263","FEDERAL","TURNKEY","NEW CONST",,"276","276","1,212.0","4.39",,,"543",,,"5","0","37","3","294,107.0","6.75","300,000","6.89","84,230","2,198,403","28.08%","80","$20,078,888","$16,539","$473","KNICKERBOCKER AVE","WILSON AVE","GATES AVE","MENAHAN ST","BROOKLYN","4","07","18","53","37","1986-12-10T00:00:00.000",,,"YES",,"07/18/2019"
"1/1/2025","BUTLER","NY005001130","113","113","435","435","NY005362","FEDERAL","CONVENTIONAL","NEW CONST","0","1,469","1,492","7,186.5","4.89","0","3,673","3,673","539","0.3836","6","1","6","21","556,687.3","12.78","558,096","12.81","88,255","13,527,100","15.81%","287","$29,633,000","$4,068","$606","E 169TH ST","E 171ST ST","WEBSTER AVE","PARK AVE","BRONX","3","15","32","79","16","1964-12-31T00:00:00.000","1995/07/13-PTA",,,,
"1/1/2025","CAMPOS PLAZA II","NY005012570","286","337","593","593","NY005264","FEDERAL","CONVENTIONAL","NEW CONST","0","223","224","1,083.5","4.86","0","449","449","110","0.5093","2","0","3","9–17","85,220.8","1.96","93,155","2.14","29,149","2,470,285","31.29%","230","$17,601,547","$16,193","$792","AVENUE B","E 14TH ST","AVENUE C","E 13TH ST","MANHATTAN","3","10","27","74","02","1983-04-30T00:00:00.000",,,"YES",,
"1/1/2025","CAREY GARDENS","NY005011660","166","166","288","288","NY005088","FEDERAL","CONVENTIONAL","NEW CONST","0","679","683","3,082.5","4.54","0","1,507","1,507","286","0.4434","3","2","3","15–17","374,529.9","8.60","364,406","8.37","58,078","6,234,149","15.94%","175","$16,996,504","$5,476","$597","W 24TH ST","NEPTUNE AVE","W 22ND ST","SURF AVE","BROOKLYN","13","08","23","46","47","1970-11-30T00:00:00.000",,,,,
"1/1/2025","CARLETON MANOR","NY005010750","164","075","270","226","NY005073","FEDERAL","CONVENTIONAL","NEW CONST","0","169","174","728.5","4.31","0","326","326","69","0.4207","1","0","1","11","143,563.2","3.30","145,011","3.33","14,051","1,386,194","9.69%","99","$3,373,126","$4,498","$538","ROCKAWAY FRWY","BEACH CHANNEL DR",,,"QUEENS","14","05","10","31","31","1967-03-31T00:00:00.000",,,,,
"1/1/2025","CARVER","NY005000580","058","058","534","534","NY005220E","FEDERAL","CONVENTIONAL","NEW CONST","0","1,245","1,246","5,765.5","4.63","0","2,470","2,470","564","0.4608","13","0","13","6–15","580,373.7","13.32","594,887","13.66","97,568","10,275,141","15.31%","185","$24,155,000","$4,145","$658","E 99TH ST","PARK AVE","MADISON AVE","E 106TH ST","MANHATTAN","11","13","29","68","08","1958-02-14T00:00:00.000","1978/07/01-ATP 3",,,,
"1/1/2025","CASSIDY-LAFAYETTE","NY005011170","206","117","319","241","NY005122","FEDERAL","TURNKEY","NEW CONST (ELD)","0","378","380","1,248.0","3.30","0","407","407","308","0.8953","4","1","4","6","223,263.9","5.13","224,294","5.15","54,589","2,858,593","24.34%","79","$6,866,904","$5,315","$369","CASSIDY PL","FILLMORE ST","LAFAYETTE AVE","CLINTON AVE","STATEN ISLAND","1","11","23","61","49","1971-09-30T00:00:00.000",,"EXCLUSIVELY",,,
"1/1/2025","CASTLE HILL","NY005020800","080","080","431","431","NY005371","MIXED FINANCE/LLC1","CONVENTIONAL","NEW CONST","409","2,022","2,025","9,759.0","4.83","939","3,436","4,375","810","0.4217","14","0","14","12–20","1,745,665.9","40.07","1,757,585","40.35","176,917","19,247,987","9.82%","109","$28,454,000","$2,915","$611","OLMSTEAD AVE","HAVEMEYER AVE","LACOMBE AVE","CINCINNATUS AVE","BRONX","9","14","34","87","18","1960-12-15T00:00:00.000",,,,,
"1/1/2025","CHELSEA","NY005021340","134","134","446","446","NY005372","MIXED FINANCE/LLC1","CONVENTIONAL","NEW CONST","68","423","425","1,905.5","4.50","143","679","822","167","0.4326","2","0","4","21","76,942.9","1.77","74,488","1.71","18,557","3,689,065","24.91%","465","$8,776,000","$4,584","$670","W 25TH ST","W 26TH ST","NINTH AVE",,"MANHATTAN","4","12","47","75","03","1964-05-31T00:00:00.000",,,,,
"1/1/2025","CHELSEA ADDITION","NY005011340","176","134","451","451","NY005361","FEDERAL","CONVENTIONAL","NEW CONST (ELD)","0","95","96","332.5","3.50","0","106","106","79","0.9634","1","0","1","14","45,678.1","1.05","44,921","1.03","14,475","1,021,739","32.22%","101","$2,402,000","$7,149","$410","CHELSEA PARK","W 26TH ST","TENTH AVE",,"MANHATTAN","4","12","47","75","03","1968-04-30T00:00:00.000","1995/07/13-PTA","EXCLUSIVELY",,,
"1/1/2025","CLAREMONT PARKWAY-FRANKLIN AVENUE","NY005013420","334","342","779","753","NY005253","FEDERAL","TURNKEY","NEW CONST",,"173","188","678.5","3.92","0","248","248","116","0.0068","3","0","13","3-7","138,623.8","3.18","134,390","3.09","35,258","1,584,850","26.24%","78","$12,645,913","$17,252","$388","CLAREMONT PKWY","FULTON AVE","E 171ST ST","THIRD AVE","BRONX","3","15","32","79","16","1986-12-16T00:00:00.000",,"PARTIALLY (1 BUILDING)","YES",,"09/28/2023"
"1/1/2025","CLAREMONT REHAB (GROUP 2)","NY005013080","307","308","330","750","NY005246","FEDERAL","TURNKEY","REHAB","0","106","107","455.0","4.29","0","218","218","42","0.4242","6","0","6","5–6","32,669.1","0.75","31,874","0.73","21,948","3,488,634","68.86%","291","$11,430,362","$24,822","$511","CLAY AVE","E 169TH ST","WEBSTER AVE","E 166TH ST","BRONX","4","15","32","77","16","1987-12-31T00:00:00.000",,,"YES",,
"1/1/2025","CLAREMONT REHAB (GROUP 3)","NY005013080","308","308","750","750","NY005223","FEDERAL","TURNKEY","REHAB","0","106","115","467.0","4.41","0","222","222","35","0.3571","5","0","5","5","35,880.0","0.82","35,423","0.81","21,985","1,538,950","62.06%","270","$7,234,594","$14,061","$579","E 167TH ST","TELLER AVE","E 165TH ST","FINDLAY AVE","BRONX","4","15","32","77","16","1985-02-28T00:00:00.000",,,"YES",,
"1/1/2025","CLAREMONT REHAB (GROUP 4)","NY005013080","335","308","751","750","NY005273","FEDERAL","TURNKEY","REHAB","0","136","150","605.0","4.45","0","272","272","45","0.3571","9","0","9","4–5","47,580.4","1.09","45,636","1.05","29,519","2,656,710","64.68%","249","$10,283,674","$15,605","$584","E 169TH ST","CLAY AVE","E 165TH ST","FINDLAY AVE","BRONX","4","15","32","77","16","1986-10-23T00:00:00.000",,,"YES",,
"1/1/2025","CLAREMONT REHAB (GROUP 5)","NY005013080","336","308","752","750","NY005274","FEDERAL","TURNKEY","REHAB","0","126","135","548.0","4.35","0","243","243","42","0.375","3","0","3","5","54,966.7","1.26","53,898","1.24","28,605","2,927,721","53.07%","193","$8,551,169","$14,555","$661","COLLEGE AVE","E 167TH ST","FINDLAY AVE","E 166TH ST","BRONX","4","15","32","77","16","1985-11-30T00:00:00.000",,,"YES",,
"1/1/2025","CLASON POINT GARDENS","NY005012800","011","088","208","506","NY005007","FEDERAL","CONVENTIONAL","NEW CONST","0","399","401","1,883.5","4.72","0","785","785","166","0.4474","46","0","192","2","736,462.4","16.91","742,013","17.03","154,304","3,388,939","20.80%","46","$2,067,000","$1,116","$730","STORY AVE","SEWARD AVE","NOBLE AVE","METCALF AVE","BRONX","9","14","34","85","18","1941-12-20T00:00:00.000",,,,,
"1/1/2025","CLINTON","NY005001230","123","123","245","245","NY005045","FEDERAL","CONVENTIONAL","NEW CONST","0","747","749","3,519.5","4.71","0","1,571","1,571","344","0.4693","6","2","6","9–18","237,077.1","5.44","232,673","5.34","51,879","6,740,935","21.28%","289","$16,774,779","$4,756","$649","PARK & LEX AVES","E 104TH,106TH STS","E 108TH ST","E 110TH ST","MANHATTAN","11","13","29","68","08","1965-10-31T00:00:00.000",,,,,
"1/1/2025","COLLEGE AVENUE-EAST 165TH STREET","NY005013080","236","308","351","344","NY005148","FEDERAL","TURNKEY","NEW CONST (ELD)","0","92","95","297.0","3.23","0","101","101","81","0.9101","1","0","1","6","23,313.3","0.54","22,146","0.51","10,022","784,399","45.25%","189","$2,518,156","$7,869","$337","E 166TH ST","FINDLAY AVE","E 165TH ST","COLLEGE AVE","BRONX","4","15","32","77","16","1972-07-31T00:00:00.000",,"EXCLUSIVELY",,,
"1/1/2025","CONEY ISLAND","NY005011700","094","170","671","671","NY005363","FEDERAL","CONVENTIONAL","NEW CONST","0","532","534","2,433.0","4.57","0","989","989","237","0.4798","5","1","5","14","240,354.4","5.52","239,429","5.50","38,119","4,912,800","12.75%","179","$7,728,534","$3,165","$660","SURF AVE","W 32ND ST","RIEGELMANN BRDWK","W 29TH ST","BROOKLYN","13","08","23","46","47","1957-02-25T00:00:00.000","1995/07/13-PTA",,,,
"1/1/2025","CONEY ISLAND I (SITE 1B)","NY005011660","239","166","335","288","NY005161","FEDERAL","TURNKEY","NEW CONST","0","193","193","954.5","4.95","0","425","425","82","0.453","1","0","1","18","95,454.5","2.19","93,061","2.14","14,078","1,876,990","15.13%","194","$7,531,412","$7,829","$596","W 20TH ST","W 21ST ST","SURF AVE","MERMAID AVE","BROOKLYN","13","08","23","46","47","1973-05-31T00:00:00.000",,,,,
"1/1/2025","CONEY ISLAND I (SITE 8)","NY005011720","238","172","334","334","NY005157","FEDERAL","TURNKEY","NEW CONST","0","123","125","621.5","5.05","0","263","263","34","0.3656","1","0","2","14","67,728.2","1.55","61,483","1.41","11,970","1,187,936","19.47%","169","$5,853,893","$9,255","$570","W 35TH ST","W 36TH ST","SURF AVE","MERMAID AVE","BROOKLYN","13","08","23","46","47","1973-12-31T00:00:00.000",,,,,
"1/1/2025","CONEY ISLAND I (SITES 4 & 5)","NY005011700","216","170","328","278","NY005123","FEDERAL","TURNKEY","NEW CONST","0","373","376","1,865.5","5.00","0","889","889","142","0.3955","1","1","5","17","187,028.0","4.29","187,318","4.30","38,750","4,017,326","20.69%","207","$16,603,000","$8,808","$678","MERMAID AVE","W 25TH ST","SURF AVE","W 28TH ST","BROOKLYN","13","08","23","46","47","1974-07-31T00:00:00.000",,,,,
"1/1/2025","CONLON LIHFE TOWER","NY005010910","232","091","347","240","NY005137","FEDERAL","TURNKEY","NEW CONST (ELD)","0","214","216","701.0","3.28","0","237","237","185","0.9024","1","0","1","13","51,410.1","1.18","51,873","1.19","11,294","1,325,412","21.77%","201","$5,835,896","$7,973","$405","170TH ST","172ND ST","JAMAICA AVE","93RD AVE","QUEENS","12","05","11","29","27","1973-03-31T00:00:00.000",,"EXCLUSIVELY",,,
"1/1/2025","COOPER PARK","NY005000690","069","069","223","223","NY005023","FEDERAL","CONVENTIONAL","NEW CONST","0","698","700","3,270.0","4.68","0","1,448","1,448","311","0.4567","11","0","13","7","539,446.7","12.38","496,296","11.39","86,767","5,878,957","16.40%","117","$7,702,277","$2,346","$653","FROST ST","MORGAN AVE","KINGSLAND AVE","MASPETH AVE","BROOKLYN","1","07","18","53","34","1953-06-25T00:00:00.000",,,,,
"1/1/2025","CORSI HOUSES","NY005010640","199","064","359","219","NY005149","FEDERAL","CONVENTIONAL","NEW CONST (ELD)","0","171","171","512.5","3.00","0","167","167","126","0.8571","1","0","1","16","33,635.7","0.77","32,004","0.73","20,446","1,361,650","63.89%","216","$6,600,521","$11,882","$343","E 116TH ST","E 117TH ST","FIRST AVE","SECOND AVE","MANHATTAN","11","13","29","68","08","1973-11-30T00:00:00.000",,"EXCLUSIVELY",,,
"1/1/2025","CROWN HEIGHTS","NY005013510","312","351","331","765","NY005258","FEDERAL","TURNKEY","REHAB",,"116","121","508.0","4.38","0","231","231","38","0.0033","8","0","8","4","52,283.2","1.20","51,255","1.18","31,650","1,139,400","61.75%","192","$7,974,650","$15,118","$688","BUFFALO AVE","BERGEN ST","RALPH AVE","SAINT JOHNS PL","BROOKLYN","8","08, 09","20","55","41","1986-09-04T00:00:00.000",,,"YES",,"11/28/2023"
"1/1/2025","CYPRESS HILLS","NY005010700","070","070","536","536","NY005220G","FEDERAL","CONVENTIONAL","NEW CONST","0","1,436","1,444","6,576.0","4.58","0","2,824","2,824","571","0.4202","15","0","30","7","1,252,342.9","28.75","1,264,130","29.02","223,364","12,338,237","17.67%","98","$14,773,000","$2,247","$585","SUTTER AVE","EUCLID AVE","LINDEN BLVD","FOUNTAIN AVE","BROOKLYN","5","08","19","60","42","1955-05-25T00:00:00.000","1978/07/01-ATP 3",,,,
"1/1/2025","DAVIDSON","NY005013420","190","342","301","301","NY005096A","FEDERAL","CONVENTIONAL","NEW CONST",,"173","175","830.5","4.80","0","430","430","73","0.0043","1","0","2","8","85,464.3","1.96","82,967","1.90","24,796","1,647,000","29.89%","219","$8,704,709","$10,259","$590","PROSPECT AVE","HOME ST","167TH ST","UNION AVE","BRONX","3","15","32","79","17","1973-08-31T00:00:00.000",,"PARTIALLY (1 STAIRHALL)",,,"09/28/2023"
"1/1/2025","DE HOSTOS APARTMENTS","NY005011270","155","155","265","259","NY005066","FEDERAL","CONVENTIONAL","NEW CONST","0","215","223","938.5","4.37","0","438","438","102","0.4857","1","0","1","22","34,310.5","0.79","32,690","0.75","10,319","1,794,597","31.57%","556","$4,044,899","$4,130","$598","AMSTERDAM AVE","W 93RD ST","BROADWAY","W 94TH ST","MANHATTAN","7","12","47","69","07","1969-03-28T00:00:00.000",,,,,
"1/1/2025","DOUGLASS",,"082, 582","082","569","569","NY005244B","FEDERAL","CONVENTIONAL","NEW CONST",,"2,048","2,058","9,176.0","4.48","0","3,904","3,904","917","0.0046","17","0","17","5–9–12–17–18–20","866,621.7","19.89","863,250","19.82","138,552","17,567,741","14.62%","196","$37,441,000","$4,062","$645","W 104TH ST","MANHATTAN AVE","W 100TH ST","AMSTERDAM AVE","MANHATTAN","7","13","30","69","07","1958-09-25T00:00:00.000","1979/08/01-ATP 4",,,,
"1/1/2025","DOUGLASS ADDITION","NY005010820","148","082","569","569","NY005244B","FEDERAL","CONVENTIONAL","NEW CONST","0","133","135","660.5","4.97","0","287","287","58","0.464","1","0","1","16","25,272.8","0.58","23,957","0.55","8,884","1,289,500","37.08%","495","$3,783,000","$5,667","$662","W 102ND ST","W 103RD ST","AMSTERDAM AVE",,"MANHATTAN","7","12","30","69","07","1965-06-30T00:00:00.000","1979/08/01-ATP 4",,,,
"1/1/2025","DOUGLASS I","NY005010820","082","082","569","569","NY005244B","FEDERAL","CONVENTIONAL","NEW CONST","0","1,294","1,305","5,769.0","4.46","0","2,406","2,406","586","0.4696","11","0","11","5–9–12–17–20","516,560.2","11.86","533,018","12.24","94,508","10,999,163","17.73%","203","$22,701,754","$3,933","$620","W 104TH ST","MANHATTAN AVE","W 100TH ST","COLUMBUS AVE","MANHATTAN","7","13","30","69","07","1958-09-25T00:00:00.000","1979/08/01-ATP 4",,,,
"1/1/2025","DOUGLASS II","NY005010820","582","082","569","569","NY005244B","FEDERAL","CONVENTIONAL","NEW CONST","0","750","753","3,457.0","4.61","0","1,498","1,498","331","0.451","6","0","6","9–12–17–18–20","350,061.5","8.04","330,232","7.58","44,044","6,568,578","10.61%","186","$14,739,246","$4,277","$686","W 104TH ST","COLUMBUS AVE","W 100TH ST","AMSTERDAM AVE","MANHATTAN","7","13","30","69","07","1958-09-25T00:00:00.000","1979/08/01-ATP 4",,,,
"1/1/2025","DREW-HAMILTON","NY005021110","111","111","434","434","NY005373","MIXED FINANCE/LLC1","CONVENTIONAL","NEW CONST","278","1,211","1,217","5,344.5","4.41","506","1,839","2,345","473","0.4332","5","0","5","21","298,347.5","6.85","292,159","6.71","74,433","9,889,060","23.84%","342","$25,146,000","$4,687","$576","W 141ST ST","W 144TH ST","POWELL BLVD","DOUGLASS BLVD","MANHATTAN","10","13","30","70","09","1965-09-30T00:00:00.000",,,,,
"1/1/2025","DYCKMAN","NY005000410","041","041","373","373","NY005183A","FEDERAL","CONVENTIONAL","NEW CONST","0","1,163","1,167","5,042.5","4.34","0","1,966","1,966","593","0.5338","7","1","7","14","566,569.9","13.01","570,318","13.09","80,457","9,780,114","13.11%","151","$14,202,915","$2,812","$626","DYCKMAN ST","NAGLE AVE","W 204TH ST","TENTH AVE","MANHATTAN","12","13","31","72","10","1951-04-25T00:00:00.000","1972/06/29-FED TRAN",,,,
"1/1/2025","EAGLE AVENUE-EAST 163RD STREET","NY005000590","224","059","343","236","NY005165","FEDERAL","TURNKEY","NEW CONST",,"66","66","279.0","4.23","0","138","138","22","0.0037","1","0","1","6","28,363.0","0.65","28,125","0.65","9,828","598,000","34.94%","212","$1,710,901","$6,078","$530","EAGLE AVE","E 163RD ST","THIRD AVE","E 161ST ST","BRONX","3","15","32","79","17","1971-05-31T00:00:00.000",,,,,"09/28/2023"
"1/1/2025","EAST 152ND STREET-COURTLANDT AVENUE","NY005010280","237","028","360","360","NY005154","FEDERAL","TURNKEY","NEW CONST","0","221","221","913.5","4.13","0","326","326","139","0.7056","2","0","2","11–14","64,403.7","1.48","63,175","1.45","21,301","1,801,668","33.72%","220","$7,717,944","$8,330","$515","E 151ST ST","E 153RD ST","COURTLANDT AVE","MELROSE AVE","BRONX","1","15","29","84","17","1973-08-31T00:00:00.000",,"PARTIALLY (1 BUILDING)",,,
"1/1/2025","EAST 165TH STREET-BRYANT AVENUE","NY005015300","304","530","552","748","NY005226","FEDERAL","TURNKEY","NEW CONST","0","111","111","588.5","5.30","0","347","347","20","0.1818","5","0","19","3","143,200.4","3.29","137,566","3.16","41,134","1,286,795","29.90%","106","$8,178,643","$13,874","$778","WESTCHESTER AVE","LONGFELLOW AVE","ALDUS ST","HOE AVE","BRONX","2","14","32","85","17","1987-10-31T00:00:00.000",,,"YES","YES",
"1/1/2025","EAST 173RD STREET-VYSE AVENUE","NY005015300","338","530","778","748","NY005252","FEDERAL","TURNKEY","NEW CONST","0","168","168","758.0","4.51","0","364","364","51","0.3148","7","0","28","3","195,177.7","4.48","196,060","4.50","59,524","1,547,624","28.46%","81","$12,629,936","$16,684","$714","SOUTHERN BLVD","E 173RD ST","VYSE AVE","JENNINGS ST","BRONX","3","15","32","79","17","1987-10-31T00:00:00.000",,,"YES","YES",
"1/1/2025","EAST 180TH STREET-MONTEREY AVENUE","NY005012270","208","180","323","363","NY005124","FEDERAL","CONVENTIONAL","NEW CONST","0","239","239","1,052.5","4.40","0","474","474","102","0.4615","1","1","2","10","71,458.5","1.64","78,743","1.81","30,800","2,072,776","39.11%","289","$8,727,000","$8,221","$559","E 180TH ST","E 181ST ST","LAFONTAINE AVE","QUARRY RD","BRONX","6","15","32","86","15","1973-09-30T00:00:00.000",,,,,"06/24/2025"
"1/1/2025","EAST NEW YORK CITY LINE","NY005010700","263","070","378","378","NY005171","FEDERAL","TURNKEY","NEW CONST","0","66","66","409.0","6.20","0","250","250","23","0.3485","33","0","33","3","85,226.3","1.96","84,400","1.94","26,943","719,300","31.92%","128","$2,774,644","$6,784","$726","FOUNTAIN AVE","HEGEMAN AVE","LOGAN ST",,"BROOKLYN","5","08","19","60","42","1976-03-31T00:00:00.000",,,,,
"1/1/2025","EAST RIVER","NY005010090","009","009","207","207","NY005005","FEDERAL","CONVENTIONAL","NEW CONST","0","1,150","1,170","4,826.0","4.20","0","2,020","2,020","450","0.4294","10","1","29","6–10–11","465,829.6","10.69","466,607","10.71","112,140","7,963,515","21.87%","189","$5,304,700","$1,086","$560","FIRST AVE","FDR DRIVE","E 102ND ST","E 105TH ST","MANHATTAN","11","13","29","68","08","1941-05-20T00:00:00.000",,,,,
"1/1/2025","EASTCHESTER GARDENS","NY005010340","034","034","313","313","NY005114A","FEDERAL","CONVENTIONAL","NEW CONST","0","874","877","4,235.0","4.85","0","1,806","1,806","353","0.4315","10","0","15","7–8","599,719.0","13.77","607,396","13.94","115,918","7,891,470","17.73%","131","$9,514,000","$2,244","$604","BURKE AVE","BOUCK AVE","ADEE AVE","YATES AVE","BRONX","11","15","36","83","12","1950-06-01T00:00:00.000","1968/08/29-FED TRAN",,,,"03/27/2025"
"1/1/2025","EDENWALD","NY005000570","057","057","214","214","NY005019","FEDERAL","CONVENTIONAL","NEW CONST",,"2,035","2,039","9,411.0","4.76","0","4,783","4,783","633","0.0032","40","2","68","3-14","2,373,791.0","54.49","2,023,005","46.44","344,433","17,847,449","16.18%","88","$22,862,156","$2,359","$584","GRENADA PL","BAYCHESTER AVE","E 225TH ST","LACONIA AVE","BRONX","12","16","36","83","12","1953-10-30T00:00:00.000",,,,,"06/27/2023"
"1/1/2025","ELLIOTT","NY005011340","015","134","367","367","NY005181C","FEDERAL","CONVENTIONAL","NEW CONST","0","604","608","2,833.0","4.69","0","1,163","1,163","233","0.438","4","0","8","11–12","161,696.6","3.71","204,530","4.70","45,023","4,301,454","22.01%","313","$5,042,342","$1,808","$668","W 25TH ST","CHELSEA PARK","NINTH AVE","TENTH AVE","MANHATTAN","4","12","47","75","03","1947-07-15T00:00:00.000","1972/06/29-FED TRAN",,,,
"1/1/2025","FARRAGUT","NY005000290","029","029","532","532","NY005220C","FEDERAL","CONVENTIONAL","NEW CONST","0","1,383","1,390","6,484.5","4.69","0","2,743","2,743","560","0.4272","10","0","10","14","729,556.5","16.75","723,570","16.61","100,746","11,639,930","13.92%","164","$15,187,000","$2,324","$643","YORK ST","NASSAU ST","NAVY ST","BRIDGE ST","BROOKLYN","2","07","25","57","35","1952-05-07T00:00:00.000","1978/07/01-ATP 3",,,,
"1/1/2025","FENIMORE-LEFFERTS","NY005011670","205","167","322","283","NY005129","FEDERAL","TURNKEY","NEW CONST",,"35","36","175.5","5.01","0","86","86","13","0.0038","18","0","18","2","35,483.1","0.81","33,705","0.77","20,339","564,300","60.34%","106","$633,673","$3,520","$805","FENIMORE ST","TROY AVE","LEFFERTS AVE","NOSTRAND AVE","BROOKLYN","9","09","20","43","40","1969-09-30T00:00:00.000",,,"YES",,"11/28/2023"
"1/1/2025","FHA REPOSSESSED HOUSES (GROUP I)","NY005012090","209","091","324","324","NY005140","FEDERAL","CONVENTIONAL","REHAB","0","23","23","116.5","5.07","0","18","18","8","0.5714","20","0","23","1–2","52,507.9","1.21","109,109","2.50",,,,"15","$872,178","$3,645","$901","20 QUEENS",,,,"QUEENS",,"05","10, 14","29, 31, 32, 33","27, 28, 31","1969-10-31T00:00:00.000",,,"YES",,
"1/1/2025","FHA REPOSSESSED HOUSES (GROUP II)","NY005012090","212","091","327","324","NY005155","FEDERAL","CONVENTIONAL","REHAB","0","11","11","58.5","5.32","0","19","19","2","0.25","10","0","11","1–2–3","28,327.0","0.65","71,102","1.63",,,,"29","$638,109","$3,710","$1,308","9 QUEENS","1 BRONX",,,"BRONX/QUEENS",,"05, 14","10, 14, 34","29, 31, 32, 33, 85","18, 27, 28, 31","1970-09-30T00:00:00.000",,,"YES",,
