year,nycha_development,borough_x,total_number_of_resident_job_placements,average_wage_of_such_residents,total_number_of_resident_connections_to_services,total_number_of_residents_that_applied_for_the_nycha_resident_training_academy,total_number_of_residents_that_were_accepted_and_enrolled,total_number_residents_placed_into_full-time_or_part-time_jobs,number_of_residents_that_enrolled_in_financial_counseling_services/workshops_through_the_rees_zone_partner_program,total_number_of_residents_enrolled_in_vocational_training_programs_through_the_program,total_number_of_residents_enrolled_in_prep_courses_for_english_as_a_second_language_(esol)_or_the_test_assessing_secondary_completion_(tasc)_through_the_program,service_connections,data_as_of,hud_amp#,tds#,consolidated_tds#,development_edp#,operating_edp#,hud_#,program,method,type,number_of_section_8_transition_apartments,number_of_current_apartments,total_number_of_apartments,number_of_rental_rooms,avg_no_r/r_per_apartment,population_section_8_transition,population_public_housing,total_population,total_#_of_fixed_income_household,percent_fixed_income_households,number_of_residential_bldgs,number_of_non-residential_bldgs,number_of_stairhalls,number_of_stories,total_area_sq_ft,acres,net_dev_area_sq_ft,excluding_park_acres,bldg_coverage_sq_ft,cubage_cu_ft,bldg_coverage_%,density,development_cost,per_rental_room,avg_monthly_gross_rent,location_street_a,location_street_b,location_street_c,location_street_d,borough_y,community_distirct,us_congressional_district,ny_state_senate_district,ny_state_assembly_district,ny_city_council_district,completion_date,federalized_development,senior_development,electricity_paid_by_residents,private_management,rad_transferred_date,borough,services_per_capita
2022.0,SAMUEL (MHOP) I,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005013170,389,359,847,847,NY005335,MHOP,CONVENTIONAL,REHAB,,31,53.0,138.5,4.47,0,49,49.0,10,0.0036,5.0,0.0,5.0,5,"14,126.6",0.32,"13,819",0.32,"11,274","607,774",81.58%,151.0,"$4,630,200","$19,661",$795,W 139TH ST,AC POWELL BLVD,W 141ST ST,LENOX AVE,MANHATTAN,10,13,30,70,09,1994-01-31T00:00:00.000,,,YES,YES,11/30/2020,,0.0
2022.0,SAMUEL (CITY),Unknown,0.0,38.39,17.0,6.0,0.0,0.0,0.0,0.0,0.0,17.0,1/1/2025,NY005023770,377,377,650,650,NY005375,MIXED FINANCE/LLC1,CONVENTIONAL,REHAB,105.0,598,664.0,"2,552.0",4.27,190,"1,044",1234.0,194,0.3255,40.0,2.0,40.0,5–6–7,"210,386.9",4.83,"201,872",4.63,"116,528","7,142,241",57.72%,255.0,$0,,$743,LENOX AVE,W 139TH ST,W 147TH ST,AC POWELL BLVD,MANHATTAN,10,13,30,"70, 71",09,1994-08-31T00:00:00.000,,,YES,,09/26/2024,,0.013776337115072933
2022.0,SAINT NICHOLAS,Unknown,6.0,16.26,45.0,21.0,5.0,0.0,5.0,5.0,0.0,45.0,1/1/2025,NY005000380,038,038,211,211,NY005010,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,524",1526.0,"7,106.0",4.66,0,"2,965",2965.0,617,0.4395,13.0,0.0,14.0,14,"629,649.6",14.45,"625,559",14.36,"105,458","13,112,212",15.49%,205.0,"$20,560,063","$2,891",$645,W 127TH ST,DOUGLASS BLVD,POWELL BLVD,W 131ST ST,MANHATTAN,10,13,30,70,09,1954-09-30T00:00:00.000,,,,,,MANHATTAN,0.01517706576728499
2022.0,SAINT MARY'S PARK,Unknown,0.0,15.8,13.0,7.0,0.0,0.0,0.0,0.0,0.0,13.0,1/1/2025,NY005020930,093,093,673,673,NY005384,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,209.0,997,1007.0,"4,488.5",4.5,403,"1,478",1881.0,364,0.3957,6.0,0.0,6.0,21,"552,064.7",12.67,"545,801",12.53,"57,006","8,922,933",9.68%,148.0,"$16,351,823","$3,607",$615,CAULDWELL AVE,E 156TH ST,WESTCHESTER AVE,TRINITY AVE,BRONX,1,15,29,84,08,1959-04-30T00:00:00.000,,,,,,BRONX,0.006911217437533227
2022.0,SACK WERN,Unknown,0.0,32.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005012800,280,280,506,506,NY005205,FEDERAL,CONVENTIONAL,REHAB,0.0,379,413.0,"1,755.5",4.63,0,783,783.0,148,0.3905,7.0,1.0,7.0,6,"216,987.0",4.98,"226,969",5.21,"63,056","3,782,352",27.78%,157.0,"$8,699,894","$4,528",$688,BEACH AVE,TAYLOR AVE,NOBLE AVE,ROSEDALE AVE,BRONX,9,14,34,85,18,1977-05-12T00:00:00.000,,,,,06/26/2024,,0.0
2022.0,RUTLAND TOWERS,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005011670,282,167,508,283,NY005211,FEDERAL,CONVENTIONAL,REHAB,,60,61.0,218.0,3.63,0,98,98.0,34,0.0057,1.0,0.0,1.0,6,"22,643.9",0.52,"19,400",0.45,"13,470","642,963",69.43%,189.0,"$1,594,181","$6,727",$604,EAST NEW YORK AVE,E 91ST ST,E 92ND ST,RUTLAND RD,BROOKLYN,17,09,19,58,41,1977-05-17T00:00:00.000,,,,,11/28/2023,,0.0
2022.0,RUTGERS,Unknown,5.0,42.39,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1/1/2025,NY005020990,099,099,439,439,NY005382,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,102.0,721,721.0,"3,357.5",4.66,200,"1,271",1471.0,362,0.5285,5.0,0.0,5.0,20,"226,932.5",5.21,"227,341",5.22,"39,355","5,936,573",17.31%,282.0,"$14,090,000","$4,277",$626,CHERRY ST,PIKE ST,MADISON ST,RUTGERS ST,MANHATTAN,3,10,27,65,01,1965-03-31T00:00:00.000,,,,,,MANHATTAN,0.010197144799456152
2022.0,ROOSEVELT II,Unknown,0.0,15.8,13.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,1/1/2025,NY005011350,177,135,281,227,NY005083,FEDERAL,CONVENTIONAL,NEW CONST,0.0,339,342.0,"1,484.5",4.38,0,646,646.0,148,0.4611,3.0,0.0,3.0,14–15,"148,881.1",3.42,"146,506",3.36,"24,067","2,801,874",16.43%,189.0,"$6,450,218","$4,312",$613,LEWIS AVE,STUYVESANT AVE,HART ST,PULASKI ST,BROOKLYN,3,08,25,56,36,1966-12-31T00:00:00.000,,,,,,BROOKLYN,0.020123839009287926
2022.0,ROOSEVELT I,Unknown,0.0,15.8,21.0,5.0,0.0,0.0,0.0,0.0,0.0,21.0,1/1/2025,NY005011350,135,135,227,227,NY005054,FEDERAL,CONVENTIONAL,NEW CONST,0.0,761,763.0,"3,576.5",4.7,0,"1,632",1632.0,352,0.4822,6.0,0.0,6.0,14–15–18,"345,698.5",7.94,"340,000",7.81,"52,168","6,754,320",15.34%,206.0,"$14,017,427","$3,914",$598,KOSCIUSKO ST,PULASKI ST,MARCUS GARVEY BLVD,STUYVESANT AVE,BROOKLYN,3,08,25,56,36,1964-09-30T00:00:00.000,,PARTIALLY (1 BUILDING),,,,BROOKLYN,0.012867647058823529
2022.0,ROBINSON,Unknown,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1/1/2025,NY005012410,241,241,346,346,NY005173,FEDERAL,TURNKEY,NEW CONST,0.0,188,189.0,834.0,4.44,0,355,355.0,66,0.4,1.0,0.0,2.0,8,"65,196.7",1.5,"64,945",1.49,"22,776","1,802,766",35.07%,237.0,"$5,990,000","$7,068",$673,E 128TH ST,E 129TH ST,LEXINGTON AVE,PARK AVE,MANHATTAN,11,13,30,68,09,1973-05-31T00:00:00.000,,,,,,,0.028169014084507043
2022.0,ROBBINS PLAZA,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005011390,218,139,329,253,NY005151,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0.0,150,150.0,470.0,3.13,0,164,164.0,131,0.9161,1.0,0.0,1.0,20,"13,536.8",0.31,"12,553",0.29,"6,773","974,866",53.96%,528.0,"$4,855,905","$9,568",$409,E 70TH ST,FIRST AVE,E 71ST ST,SECOND AVE,MANHATTAN,8,12,28,76,05,1975-02-28T00:00:00.000,,EXCLUSIVELY,,,,MANHATTAN,0.0
2022.0,RIIS II,Unknown,0.0,24.22,31.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1/1/2025,NY005010180,019,018,372,210,NY005181D,FEDERAL,CONVENTIONAL,NEW CONST,0.0,575,578.0,"2,710.5",4.71,0,"1,143",1143.0,249,0.4577,6.0,0.0,8.0,6–13–14,"258,372.5",5.93,"258,562",5.94,"43,916","4,497,120",16.98%,193.0,"$6,339,520","$2,344",$667,FDR DR,AVENUE D,EAST 6TH ST,EAST 8TH ST,MANHATTAN,3,10,27,74,02,1949-01-31T00:00:00.000,1972/06/29-FED TRAN,,,,,MANHATTAN,0.02712160979877515
2022.0,RIIS,Unknown,0.0,44.43,77.0,8.0,0.0,0.0,0.0,0.0,0.0,77.0,1/1/2025,NY005010180,018,018,210,210,NY005008,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,191",1191.0,"5,666.5",4.76,0,"2,408",2408.0,530,0.4645,13.0,0.0,18.0,6–13–14,"520,294.5",11.94,"510,926",11.73,"103,446","9,657,260",20.25%,202.0,"$13,510,289","$2,411",$666,FDR DR,AVENUE D,E 8TH ST,E 13TH ST,MANHATTAN,3,10,27,74,02,1949-01-17T00:00:00.000,,,,,,MANHATTAN,0.03197674418604651
2022.0,RICHMOND TERRACE,Unknown,0.0,23.41,29.0,7.0,0.0,0.0,0.0,0.0,0.0,29.0,1/1/2025,NY005011170,117,117,241,241,NY005039,FEDERAL,CONVENTIONAL,NEW CONST,0.0,488,489.0,"2,308.0",4.73,0,990,990.0,156,0.3786,6.0,1.0,6.0,8,"444,970.0",10.22,"440,715",10.12,"57,285","4,498,022",12.34%,97.0,"$9,551,430","$4,129",$608,JERSEY ST,RICHMOND TERR,CRESCENT AVE,,STATEN ISLAND,1,11,23,61,49,1964-04-30T00:00:00.000,,,,,,STATEN ISLAND,0.029292929292929294
2022.0,REID APARTMENTS,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005011670,167,167,283,283,NY005089,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,199,230.0,602.5,3.03,0,207,207.0,174,0.0091,1.0,0.0,1.0,20,"68,329.6",1.57,"68,762",1.58,"13,285","1,397,832",19.32%,132.0,"$3,910,160","$5,227",$349,TROY AVE,ALBANY AVE,EAST NEW YORK AVE,MAPLE ST,BROOKLYN,9,09,20,43,40,1969-11-30T00:00:00.000,,EXCLUSIVELY,,,11/28/2023,,0.0
2022.0,REHAB PROGRAM (WISE REHAB),Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005011270,517,155,298,259,NY005076D,FEDERAL,CONVENTIONAL,REHAB,0.0,40,40.0,159.0,3.98,0,63,63.0,17,0.4474,1.0,0.0,1.0,5,"10,196.6",0.23,"10,071",0.23,"7,367","472,901",73.15%,269.0,,,$776,COLUMBUS AVE,W 94TH ST,CENTRAL PARK WEST,W 93RD ST,MANHATTAN,7,12,47,69,06,1964-01-31T00:00:00.000,,,,,,MANHATTAN,0.0
2022.0,REHAB PROGRAM (TAFT REHABS),Unknown,0.0,24.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005013170,516,359,"295 - BLDG 1, 293 - BLDGS 2,3 292 - BLDG 4",295,"NY005076G - BLDG 1, NY005076I - BLDG 2, 3,  NY005076J - BLDG 4",FEDERAL,CONVENTIONAL,REHAB,0.0,154,156.0,595.0,3.86,0,253,253.0,54,0.3857,4.0,0.0,4.0,7,"27,394.4",0.63,"27,171",0.62,"22,914","1,809,773",84.33%,402.0,,,$572,SAINT NICHOLAS AVE,W 119TH ST,LENOX AVE,W 112TH ST,MANHATTAN,10,13,30,70,09,1964-01-31T00:00:00.000,,,,YES,,,0.0
2022.0,REHAB PROGRAM (DOUGLASS REHABS),Unknown,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005013170,515,359,"255 - BLDGS 2-4, 299 - BLDG 1",255,"NY005076A - BLDG 3-4, NY005076B - BLDGS 2, NY005076C - BLDG 1",FEDERAL,CONVENTIONAL,REHAB,0.0,112,112.0,413.0,3.69,0,154,154.0,49,0.49,4.0,0.0,9.0,3–6–7,"26,188.8",0.6,"24,462",0.56,"16,326","1,247,684",66.74%,256.0,,,$653,W 104TH ST,BROADWAY,W 101ST ST,WEST END AVE,MANHATTAN,7,12,30,69,07,1964-01-31T00:00:00.000,,,,YES,,MANHATTAN,0.0
2022.0,REHAB PROGRAM (COLLEGE POINT),Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005011860,143,186,297,290,NY005076E,FEDERAL,CONVENTIONAL,REHAB (ELD),0.0,13,13.0,32.5,2.5,0,12,12.0,11,0.9167,1.0,0.0,1.0,1,"15,478.9",0.36,"15,000",0.34,"9,320","115,995",62.13%,34.0,"$5,909,934","$4,821",$276,125TH ST,22ND AVE,126TH ST,,QUEENS,7,14,11,27,19,1964-01-31T00:00:00.000,,EXCLUSIVELY,,,,QUEENS,0.0
2022.0,REDFERN,Unknown,5.0,19.52,22.0,13.0,0.0,0.0,0.0,0.0,0.0,22.0,1/1/2025,NY005000550,055,055,525,525,NY005216D,FEDERAL,CONVENTIONAL,NEW CONST,0.0,599,604.0,"2,909.5",4.86,0,"1,426",1426.0,215,0.3765,9.0,6.0,16.0,6–7,"730,279.4",16.76,"726,038",16.67,"95,461","5,602,438",11.67%,85.0,"$9,334,000","$3,186",$681,REDFERN AVE,HASSOCK ST,BEACH CHANNEL DR,B 12TH ST,QUEENS,14,05,10,31,31,1959-08-28T00:00:00.000,1978/02/01-ATP 2,,,,,QUEENS,0.015427769985974754
2022.0,RED HOOK WEST,Unknown,0.0,34.41,36.0,11.0,0.0,0.0,0.0,0.0,0.0,36.0,1/1/2025,NY005000790,079,079,"202 - BLDGS 15-25, 230 - BLDGS 1-4",230,"NY005001 - BLDGS 15-25, NY005029 - BLDGS 1-4",FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,471",1480.0,"6,320.5",4.3,0,"2,698",2698.0,558,0.423,14.0,1.0,49.0,3–6–14,"819,204.0",18.81,"841,727",19.32,"169,260","11,454,257",20.11%,143.0,,,$604,RICHARDS ST,LORRAINE ST,HICKS ST,WEST 9TH ST,BROOKLYN,6,10,26,51,38,1955-05-31T00:00:00.000,,,,,,BROOKLYN,0.013343217197924388
2022.0,RED HOOK EAST,Unknown,6.0,17.91,31.0,17.0,0.0,0.0,0.0,0.0,0.0,31.0,1/1/2025,NY005000040,004,004,202,202,NY005001,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,401",1407.0,"5,876.5",4.19,0,"2,377",2377.0,549,0.4442,15.0,2.0,48.0,2–6,"870,219.9",19.98,"856,003",19.65,"192,198","10,734,477",22.45%,119.0,,,$590,CLINTON ST,LORRAINE ST,COLUMBIA ST,WEST 9TH ST,BROOKLYN,6,10,26,51,38,1939-11-20T00:00:00.000,,,,,,BROOKLYN,0.013041649137568364
2022.0,RAVENSWOOD,Unknown,6.0,18.87,71.0,23.0,0.0,0.0,5.0,6.0,0.0,71.0,1/1/2025,NY005000480,048,048,369,369,NY005184,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"2,160",2166.0,"9,116.0",4.22,0,"3,926",3926.0,922,0.4428,31.0,0.0,45.0,6–7,"1,520,494.6",34.91,"1,537,135",35.29,"346,053","18,107,100",20.75%,112.0,"$21,403,996","$2,342",$704,12TH ST,34TH AVE,24TH ST,36TH AVE,QUEENS,1,07,59,36,26,1951-07-19T00:00:00.000,1971/06/29-FED TRAN,,,,,QUEENS,0.018084564442180335
2022.0,RANGEL,Unknown,0.0,25.26,12.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,1/1/2025,NY005000370,037,037,317,317,NY005114E,FEDERAL,CONVENTIONAL,NEW CONST,0.0,983,984.0,"4,519.5",4.6,0,"1,920",1920.0,388,0.4231,8.0,0.0,9.0,14,"471,966.9",10.83,"475,672",10.92,"71,671","7,911,809",15.07%,177.0,"$10,613,000","$2,373",$631,HARLEM RIVER DR,POLO GROUNDS TOWERS,HARLEM RIVER DRIVEWAY,,MANHATTAN,10,13,30,71,09,1951-10-08T00:00:00.000,1968/08/29-FED TRAN,,,,,MANHATTAN,0.00625
2022.0,RANDALL AVENUE-BALCOM AVENUE,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005010630,245,063,364,218,NY005179,FEDERAL,TURNKEY,NEW CONST (ELD),0.0,251,252.0,823.5,3.28,0,248,248.0,203,0.9144,3.0,0.0,3.0,6,"236,737.5",5.43,"230,000",5.28,"48,175","1,582,410",20.95%,46.0,"$9,186,414","$10,757",$387,RANDALL AVE,BALCOM AVE,SCHLEY AVE,BUTTRICK AVE,BRONX,10,14,34,82,13,1978-10-31T00:00:00.000,,EXCLUSIVELY,,,,BRONX,0.0
2022.0,RALPH AVENUE REHAB,Unknown,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1/1/2025,NY005011670,352,167,771,763,NY005290,FEDERAL,TURNKEY,REHAB,,111,118.0,501.5,4.52,0,249,249.0,27,0.0025,5.0,0.0,5.0,4,"71,910.9",1.65,"70,486",1.62,"27,982","3,052,668",39.70%,151.0,"$6,714,551","$12,693",$675,EAST NEW YORK AVE,RALPH AVE,SUTTER AVE,E 98TH ST,BROOKLYN,16,09,25,55,41,1986-12-23T00:00:00.000,,,YES,,11/28/2023,,0.024096385542168676
2022.0,QUEENSBRIDGE SOUTH,Unknown,12.0,26.34,46.0,10.0,0.0,0.0,0.0,0.0,0.0,46.0,1/1/2025,NY005000050,005,005,843,843,NY005002A,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,600",1604.0,"6,615.0",4.13,0,"2,937",2937.0,670,0.4515,13.0,2.0,49.0,6,"1,489,277.3",34.19,"820,525",18.84,"198,609","11,742,973",15.66%,86.0,"$7,054,601","$1,057",$611,41ST AVE,VERNON BLVD,41ST RD,21ST ST,QUEENS,1,07,59,36,26,1940-03-15T00:00:00.000,,,,,,QUEENS,0.015662240381341504
2022.0,QUEENSBRIDGE NORTH,Unknown,10.0,20.88,37.0,18.0,5.0,0.0,0.0,0.0,0.0,37.0,1/1/2025,NY005005050,505,505,398,398,NY005002B,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,536",1543.0,"6,314.0",4.11,0,"2,797",2797.0,673,0.4632,13.0,1.0,47.0,6,"699,004.0",16.05,"689,843",15.84,"191,356","11,314,111",21.58%,174.0,"$6,466,805","$1,010",$621,41ST AVE,VERNON BLVD,40TH AVE,21ST ST,QUEENS,1,07,59,36,26,1940-03-15T00:00:00.000,,,,,,QUEENS,0.013228459063282088
2022.0,PUBLIC SCHOOL 139 (CONVERSION),Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005011110,340,111,774,774,NY005260,FEDERAL,TURNKEY,REHAB (ELD),,125,125.0,423.5,3.39,0,137,137.0,108,0.0089,1.0,0.0,2.0,5,"66,452.0",1.53,"64,945",1.49,"26,325","2,943,660",40.53%,90.0,"$7,898,759","$18,348",$359,"W 139,140TH STS",POWELL BLVD,LENOX AVE,,MANHATTAN,10,13,30,70,09,1986-10-08T00:00:00.000,,EXCLUSIVELY,YES,,11/30/2020,,0.0
2022.0,POMONOK,Unknown,7.0,28.3,61.0,20.0,5.0,0.0,0.0,0.0,0.0,61.0,1/1/2025,NY005000530,053,053,588,588,NY005271C,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"2,068",2071.0,"8,835.0",4.27,0,"3,887",3887.0,932,0.4693,35.0,0.0,121.0,3–7–8,"2,084,612.3",47.86,"2,083,475",47.83,"369,627","19,315,843",16.51%,81.0,"$21,645,342","$2,446",$652,71ST AVE,PARSONS BLVD,KISSENA BLVD,65TH AVE,QUEENS,8,06,16,27,24,1952-06-30T00:00:00.000,1980/10/01-ATP 7,,,,,QUEENS,0.01569333676357088
2022.0,POLO GROUNDS TOWERS,Unknown,11.0,21.11,25.0,14.0,0.0,0.0,0.0,0.0,0.0,25.0,1/1/2025,NY005001490,149,149,260,260,NY005062,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,613",1614.0,"7,678.5",4.76,0,"3,467",3467.0,621,0.4224,4.0,4.0,8.0,30,"657,336.7",15.09,"659,780",15.15,"83,689","14,904,498",12.68%,230.0,"$32,292,784","$4,190",$613,DOUGLASS BLVD,W 155TH ST,HARLEM RIVER DR,,MANHATTAN,10,13,30,71,09,1968-06-30T00:00:00.000,,,,,,MANHATTAN,0.007210845111047015
2022.0,PINK,Unknown,13.0,20.8,75.0,25.0,7.0,0.0,0.0,8.0,0.0,75.0,1/1/2025,NY005000890,089,089,235,235,NY005035,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,495",1500.0,"7,074.5",4.73,0,"3,168",3168.0,577,0.4116,22.0,2.0,22.0,8,"1,363,766.8",31.31,"1,311,306",30.1,"193,511","13,316,063",14.28%,101.0,"$20,134,047","$2,835",$604,CRESCENT ST,LINDEN BLVD,ELDERTS LA,STANLEY AVE,BROOKLYN,5,08,19,60,42,1959-09-30T00:00:00.000,,,,,,BROOKLYN,0.023674242424242424
2022.0,PENNSYLVANIA AVENUE-WORTMAN AVENUE,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005011940,194,194,305,305,NY005091,FEDERAL,CONVENTIONAL,NEW CONST,,336,336.0,"1,339.5",4.0,0,627,627.0,145,0.0043,3.0,1.0,3.0,8-16,"235,329.0",5.4,"236,930",5.44,"40,998","2,712,190",17.30%,116.0,"$11,936,021","$8,606",$463,PENNSYLVANIA AVE,WORTMAN AVE,STANLEY AVE,VERMONT ST,BROOKLYN,5,08,19,60,42,1972-09-30T00:00:00.000,,,,,12/28/2021,,0.0
2022.0,PELHAM PARKWAY,Unknown,6.0,17.33,26.0,11.0,5.0,0.0,0.0,0.0,0.0,26.0,1/1/2025,NY005010390,039,039,586,586,NY005271A,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,263",1266.0,"5,438.5",4.31,0,"2,297",2297.0,556,0.4565,23.0,0.0,38.0,6,"971,382.7",22.3,"967,252",22.21,"184,875","10,665,277",17.88%,103.0,"$15,295,753","$2,806",$643,PELHAM PKWY,WALLACE AVE,WILLIAMSBRIDGE RD,MACE AVE,BRONX,11,15,"33, 36",80,13,1950-06-30T00:00:00.000,1980/10/01-ATP 7,,,,,BRONX,0.011319111885067479
2022.0,PATTERSON,Unknown,10.0,17.7,35.0,15.0,0.0,0.0,0.0,0.0,0.0,35.0,1/1/2025,NY005000240,024,024,522,522,NY005216A,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,788",1791.0,"8,505.0",4.76,0,"3,684",3684.0,674,0.3986,15.0,0.0,25.0,6–13,"695,536.4",15.97,"702,358",16.12,"167,841","14,503,544",22.42%,231.0,"$20,731,000","$2,433",$606,MORRIS AVE,THIRD AVE,E 145TH ST,E 139TH ST,BRONX,1,15,29,84,08,1950-12-31T00:00:00.000,1978/02/01-ATP 2,,,,,BRONX,0.009500542888165039
2022.0,PARKSIDE,Unknown,0.0,19.93,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1/1/2025,NY005010470,047,047,580,580,NY005267B,FEDERAL,CONVENTIONAL,NEW CONST,0.0,879,879.0,"3,712.5",4.22,0,"1,601",1601.0,393,0.4618,14.0,0.0,20.0,6–7–14–15,"458,093.8",10.52,"453,178",10.4,"96,415","7,454,500",19.86%,152.0,"$9,676,316","$2,606",$584,ADEE AVE,WHITE PLAINS RD,ARNOW AVE,BRONX PARK EAST,BRONX,11,15,36,80,12,1951-06-12T00:00:00.000,1980/07/01-ATP 5,,,,,BRONX,0.008119925046845722
2022.0,PARK ROCK REHAB,Unknown,0.0,23.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005013510,351,351,765,765,NY005285,FEDERAL,TURNKEY,REHAB,,126,134.0,548.0,4.35,0,282,282.0,29,0.0023,9.0,0.0,9.0,4,"55,732.8",1.28,"53,914",1.24,"33,105","166,531",61.40%,220.0,"$10,500,000","$18,041",$674,BELMONT AVE,JEROME ST,SUTTER AVE,BARBEY ST,BROOKLYN,8,09,20,55,36,1986-09-01T00:00:00.000,,,YES,,11/28/2023,,0.0
2022.0,"PARK AVENUE-EAST 122ND, 123RD STREETS",Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005012410,204,241,321,346,NY005127,FEDERAL,TURNKEY,NEW CONST,,89,90.0,415.5,4.67,0,209,209.0,32,0.0036,2.0,1.0,2.0,6,"38,327.4",0.88,"32,127",0.74,"14,614","950,094",45.49%,238.0,"$2,101,938","$5,017",$554,E 122ND ST,PARK AVE,E 123RD ST,LEXINGTON AVE,MANHATTAN,11,13,30,68,09,1970-03-31T00:00:00.000,,,,,11/30/2020,,0.0
2022.0,PALMETTO GARDENS,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005012470,195,247,393,393,NY005196,FEDERAL,TURNKEY,NEW CONST (ELD),,115,115.0,340.5,3.01,,,117.0,,,1.0,0.0,1.0,6,"28,687.5",0.66,"27,419",0.63,"12,739","750,300",46.46%,178.0,"$4,584,000","$12,257",$313,PALMETTO ST,GATES AVE,EVERGREEN AVE,BUSHWICK AVE,BROOKLYN,4,07,18,54,37,1977-03-31T00:00:00.000,,EXCLUSIVELY,,,07/18/2019,,0.0
2022.0,O'DWYER GARDENS,Unknown,6.0,26.69,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1/1/2025,NY005011720,172,172,582,582,NY005267D,FEDERAL,CONVENTIONAL,NEW CONST,0.0,564,573.0,"2,183.0",3.87,0,858,858.0,295,0.5784,6.0,4.0,6.0,15–16,"289,033.2",6.64,"276,010",6.34,"34,501","5,421,328",12.50%,129.0,"$15,000,000","$6,649",$624,W 32ND ST,SURF AVE,W 35TH ST,MERMAID AVE,BROOKLYN,13,08,23,46,47,1969-12-31T00:00:00.000,1980/07/01-ATP 5,,,,,BROOKLYN,0.015151515151515152
2022.0,OCEAN HILL-BROWNSVILLE,Unknown,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1/1/2025,NY005013510,313,351,287,765,NY005257,FEDERAL,TURNKEY,REHAB,,119,125.0,517.5,4.35,0,281,281.0,19,0.0016,5.0,0.0,5.0,4,"41,339.1",0.95,"242,141",5.56,"78,188","2,000,000",32.29%,296.0,"$8,068,686","$14,942",$619,RALPH AVE,ATLANTIC AVE,SARATOGA AVE,DEAN ST,BROOKLYN,16,08,25,55,41,1986-11-10T00:00:00.000,,,YES,,11/28/2023,,0.03202846975088968
2022.0,OCEAN HILL APARTMENTS,Unknown,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1/1/2025,NY005011620,162,162,269,269,NY005072,FEDERAL,CONVENTIONAL,NEW CONST,0.0,238,238.0,"1,077.0",4.53,0,543,543.0,78,0.3529,3.0,1.0,3.0,14,"116,783.3",2.68,"112,916",2.59,"16,412","2,178,743",14.53%,203.0,"$4,875,929","$4,527",$792,BROADWAY,MACDOUGAL ST,MOTHER GASTON BLVD,CHERRY ST,BROOKLYN,16,08,25,55,37,1968-03-31T00:00:00.000,,,,,,,0.01841620626151013
